time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
557198013.175,960.8206558227539,396.47353649139404,2.0814208984375,True,981.6727066040039,422.82862186431885,2.4108734130859375,True,
557198029.841,943.597526550293,377.51864433288574,2.1154022216796875,True,991.5624618530273,412.15943813323975,2.388153076171875,True,
557198046.508,968.9484786987305,414.62363719940186,2.1294708251953125,True,983.5288238525391,429.2016792297363,2.3607025146484375,True,
557198063.182,981.9221878051758,429.8380708694458,2.0167083740234375,True,994.3115615844727,437.9076147079468,2.2981719970703125,True,
557198079.847,932.9277992248535,380.1486039161682,2.2037353515625,True,986.3060760498047,394.18784379959106,2.4781341552734375,True,
557198096.522,954.0936470031738,412.380108833313,2.1267547607421875,True,982.7620697021484,397.0487093925476,2.408966064453125,True,
557198113.189,955.6663513183594,414.5084738731384,2.2012939453125,True,982.4769973754883,424.95988368988037,2.390838623046875,True,
557198129.86,939.0484428405762,376.7424988746643,2.2763824462890625,True,970.2307891845703,421.2680912017822,2.49652099609375,True,
557198146.527,935.112190246582,393.6042380332947,2.2131195068359375,True,979.9239349365234,399.609854221344,2.38519287109375,True,
557198163.182,930.1218795776367,430.9393644332886,2.090728759765625,True,979.5469665527344,429.6632981300354,2.4824676513671875,True,
557198179.867,1072.2009658813477,464.52656507492065,1.8140869140625,True,971.257438659668,417.50027418136597,2.511688232421875,True,
557198196.533,942.8240776062012,390.2194404602051,2.197113037109375,True,961.0315704345703,405.6029176712036,2.489471435546875,True,
557198213.206,947.8536987304688,358.4511637687683,2.4103851318359375,True,964.5073699951172,409.054856300354,2.523773193359375,True,
557198229.834,954.0335083007812,416.38546228408813,2.18267822265625,True,972.8149795532227,420.7692003250122,2.4498748779296875,True,
557198246.535,965.4367446899414,402.49595403671265,2.218780517578125,True,985.2605438232422,404.686439037323,2.498779296875,True,
557198263.214,945.3166007995605,433.12572956085205,2.3429107666015625,True,963.453483581543,406.0185742378235,2.465057373046875,True,
557198279.882,,,,False,975.5046844482422,419.78834867477417,2.52752685546875,True,
557198296.547,960.3417205810547,374.23285245895386,2.238616943359375,True,989.7157287597656,430.8883810043335,2.47137451171875,True,
557198313.219,939.385814666748,426.60229682922363,2.2371368408203125,True,967.6671981811523,413.30302476882935,2.498291015625,True,
557198329.891,,,,False,975.0273513793945,385.1993751525879,2.602569580078125,True,
557198346.557,929.6284103393555,432.4546408653259,2.178009033203125,True,990.4684066772461,431.73237562179565,2.4984130859375,True,
557198363.209,948.4006118774414,409.8256587982178,2.1328277587890625,True,973.6838150024414,403.13910484313965,2.4731292724609375,True,
557198379.896,970.4285430908203,416.40509605407715,2.1392364501953125,True,983.1951141357422,434.6981692314148,2.4733428955078125,True,
557198396.563,927.2859764099121,396.8435525894165,2.1843109130859375,True,966.8280029296875,436.9341015815735,2.59918212890625,True,
557198413.233,951.881103515625,391.5472626686096,2.1736297607421875,True,985.2314758300781,421.47273302078247,2.48992919921875,True,
557198429.905,941.9778442382812,424.7251796722412,2.0773468017578125,True,973.3853530883789,434.3775272369385,2.4871063232421875,True,
557198446.568,947.255916595459,364.01633977890015,2.256195068359375,True,968.0874252319336,421.55397176742554,2.54443359375,True,
557198463.212,950.145206451416,419.5719909667969,2.06451416015625,True,973.5517501831055,423.0366110801697,2.3869171142578125,True,
557198479.885,963.9508438110352,419.1280746459961,2.1615142822265625,True,973.1684875488281,430.0544285774231,2.4227294921875,True,
557198496.551,953.4793281555176,416.36273860931396,2.1768341064453125,True,961.4459609985352,409.26812410354614,2.49365234375,True,
557198513.22,956.5001106262207,394.91146087646484,2.23052978515625,True,968.9624404907227,433.0653476715088,2.502410888671875,True,
557198529.885,,,,False,978.9128494262695,400.2891182899475,2.44580078125,True,
557198546.563,968.0939483642578,437.5834321975708,1.9733428955078125,True,984.7936248779297,436.8043255805969,2.4425048828125,True,
557198563.208,,,,False,985.7197952270508,426.6569495201111,2.4599609375,True,
557198579.889,,,,False,976.8404388427734,408.5493993759155,2.48712158203125,True,
557198596.553,,,,False,999.3230438232422,425.51040172576904,2.4096832275390625,True,
